,ID,Product_Code,Max
0,0,P1,21
1,1,P2,10
2,2,P3,14
3,3,P4,19
4,4,P5,18
5,5,P6,11
6,6,P7,10
7,7,P8,15
8,8,P9,18
9,9,P10,33
10,10,P11,21
11,11,P12,9
12,12,P13,19
13,13,P14,25
14,14,P15,52
15,15,P16,54
16,16,P17,52
17,17,P18,48
18,18,P19,48
19,19,P20,17
20,20,P21,15
21,21,P22,18
22,22,P23,9
23,23,P24,53
24,24,P25,48
25,25,P26,21
26,26,P27,52
27,27,P28,44
28,28,P29,25
29,29,P30,46
30,30,P31,17
31,31,P32,16
32,32,P33,19
33,33,P34,55
34,34,P35,49
35,35,P36,61
36,36,P37,56
37,37,P38,61
38,38,P39,54
39,39,P40,51
40,40,P41,50
41,41,P42,48
42,42,P43,61
43,43,P44,50
44,44,P45,54
45,45,P46,53
46,46,P47,58
47,47,P48,52
48,48,P49,49
49,49,P50,17
50,50,P51,28
51,51,P52,48
52,52,P53,10
53,53,P54,52
54,54,P55,47
55,55,P56,47
56,56,P57,51
57,57,P58,48
58,58,P59,14
59,59,P60,51
60,60,P61,50
61,61,P62,27
62,62,P63,55
63,63,P64,52
64,64,P65,17
65,65,P66,50
66,66,P67,47
67,67,P68,19
68,68,P69,48
69,69,P70,50
70,70,P71,15
71,71,P72,55
72,72,P73,56
73,73,P74,19
74,74,P75,56
75,75,P76,51
76,76,P77,10
77,77,P78,47
78,78,P79,53
79,79,P80,51
80,80,P81,16
81,81,P82,17
82,82,P83,63
83,83,P84,62
84,84,P85,52
85,85,P86,46
86,86,P87,42
87,87,P88,45
88,88,P89,49
89,89,P90,47
90,90,P91,16
91,91,P92,59
92,92,P93,17
93,93,P94,16
94,94,P95,21
95,95,P96,57
96,96,P97,49
97,97,P98,9
98,98,P99,21
99,99,P100,29
100,100,P101,52
101,101,P102,44
102,102,P103,14
103,103,P104,10
104,104,P105,8
105,105,P106,21
106,106,P107,27
107,107,P108,9
108,108,P109,17
109,109,P110,18
110,110,P111,14
111,111,P112,57
112,112,P113,43
113,113,P114,16
114,114,P115,18
115,115,P116,16
116,116,P117,10
117,117,P118,22
118,118,P119,49
119,119,P120,52
120,120,P121,16
121,121,P122,19
122,122,P123,7
123,123,P124,11
124,124,P125,18
125,125,P126,11
126,126,P127,7
127,127,P128,50
128,128,P129,52
129,129,P130,53
130,130,P131,49
131,131,P132,58
132,132,P133,48
133,133,P134,57
134,134,P135,56
135,135,P136,55
136,136,P137,54
137,137,P138,51
138,138,P139,48
139,139,P140,46
140,140,P141,45
141,141,P142,46
142,142,P143,49
143,143,P144,21
144,144,P145,19
145,145,P146,16
146,146,P147,16
147,147,P148,9
148,148,P149,14
149,149,P150,9
150,150,P151,12
151,151,P152,16
152,152,P153,22
153,153,P154,16
154,154,P155,10
155,155,P156,8
156,156,P157,15
157,157,P158,9
158,158,P159,9
159,159,P160,16
160,160,P161,9
161,161,P162,18
162,162,P163,11
163,163,P164,19
164,164,P165,16
165,165,P166,21
166,166,P167,48
167,167,P168,59
168,168,P169,52
169,169,P170,52
170,170,P171,15
171,171,P172,50
172,172,P173,54
173,173,P174,53
174,174,P175,53
175,175,P176,53
176,176,P177,56
177,177,P178,53
178,178,P179,55
179,179,P180,55
180,180,P181,50
181,181,P182,47
182,182,P183,50
