,ID,Product_Code,Median
0,0,P1,10.0
1,1,P2,3.5
2,2,P3,8.0
3,3,P4,8.0
4,4,P5,8.0
5,5,P6,4.0
6,6,P7,3.5
7,7,P8,9.0
8,8,P9,10.0
9,9,P10,19.0
10,10,P11,11.0
11,11,P12,4.0
12,12,P13,9.0
13,13,P14,12.0
14,14,P15,35.5
15,15,P16,35.0
16,16,P17,33.5
17,17,P18,31.5
18,18,P19,31.0
19,19,P20,8.5
20,20,P21,9.0
21,21,P22,9.0
22,22,P23,4.0
23,23,P24,36.0
24,24,P25,31.5
25,25,P26,10.0
26,26,P27,33.0
27,27,P28,33.0
28,28,P29,12.0
29,29,P30,33.5
30,30,P31,9.0
31,31,P32,9.0
32,32,P33,11.0
33,33,P34,37.5
34,34,P35,35.0
35,35,P36,36.5
36,36,P37,35.0
37,37,P38,35.5
38,38,P39,33.0
39,39,P40,37.0
40,40,P41,36.0
41,41,P42,31.0
42,42,P43,36.5
43,43,P44,33.0
44,44,P45,31.0
45,45,P46,32.0
46,46,P47,33.0
47,47,P48,34.0
48,48,P49,35.5
49,49,P50,9.0
50,50,P51,18.0
51,51,P52,33.0
52,52,P53,4.0
53,53,P54,36.5
54,54,P55,30.5
55,55,P56,32.0
56,56,P57,35.0
57,57,P58,33.0
58,58,P59,9.0
59,59,P60,33.5
60,60,P61,32.0
61,61,P62,17.0
62,62,P63,34.5
63,63,P64,31.0
64,64,P65,9.0
65,65,P66,34.5
66,66,P67,32.5
67,67,P68,8.0
68,68,P69,35.0
69,69,P70,32.0
70,70,P71,10.0
71,71,P72,35.0
72,72,P73,33.0
73,73,P74,9.0
74,74,P75,34.0
75,75,P76,32.0
76,76,P77,4.0
77,77,P78,31.5
78,78,P79,30.0
79,79,P80,29.5
80,80,P81,9.0
81,81,P82,7.5
82,82,P83,35.0
83,83,P84,32.0
84,84,P85,31.0
85,85,P86,32.5
86,86,P87,32.0
87,87,P88,30.0
88,88,P89,30.5
89,89,P90,32.0
90,90,P91,8.0
91,91,P92,36.5
92,92,P93,9.0
93,93,P94,9.0
94,94,P95,12.0
95,95,P96,34.5
96,96,P97,31.5
97,97,P98,4.0
98,98,P99,9.0
99,99,P100,10.0
