,ID,Product_Code,Min
0,0,P1,3
1,1,P2,0
2,2,P3,3
3,3,P4,2
4,4,P5,3
5,5,P6,0
6,6,P7,0
7,7,P8,3
8,8,P9,3
9,9,P10,9
10,10,P11,5
11,11,P12,0
12,12,P13,0
13,13,P14,3
14,14,P15,19
15,15,P16,22
16,16,P17,17
17,17,P18,20
18,18,P19,19
19,19,P20,2
20,20,P21,3
21,21,P22,1
22,22,P23,0
23,23,P24,14
24,24,P25,19
25,25,P26,3
26,26,P27,21
27,27,P28,22
28,28,P29,4
29,29,P30,16
30,30,P31,1
31,31,P32,3
32,32,P33,4
33,33,P34,23
34,34,P35,24
35,35,P36,19
36,36,P37,22
37,37,P38,20
38,38,P39,20
39,39,P40,22
40,40,P41,19
41,41,P42,15
42,42,P43,20
43,43,P44,16
44,44,P45,16
45,45,P46,14
46,46,P47,19
47,47,P48,17
48,48,P49,21
49,49,P50,3
50,50,P51,7
51,51,P52,19
52,52,P53,0
53,53,P54,21
54,54,P55,20
55,55,P56,19
56,56,P57,14
57,57,P58,20
58,58,P59,3
59,59,P60,18
60,60,P61,18
61,61,P62,8
62,62,P63,18
63,63,P64,18
64,64,P65,4
65,65,P66,19
66,66,P67,20
67,67,P68,2
68,68,P69,19
69,69,P70,18
70,70,P71,3
71,71,P72,18
72,72,P73,13
73,73,P74,4
74,74,P75,22
75,75,P76,15
76,76,P77,0
77,77,P78,18
78,78,P79,21
79,79,P80,17
80,80,P81,3
81,81,P82,4
82,82,P83,20
83,83,P84,21
84,84,P85,14
85,85,P86,19
86,86,P87,18
87,87,P88,18
88,88,P89,12
89,89,P90,18
90,90,P91,4
91,91,P92,19
92,92,P93,1
93,93,P94,4
94,94,P95,5
95,95,P96,21
96,96,P97,17
97,97,P98,0
98,98,P99,3
99,99,P100,5
100,100,P101,15
101,101,P102,19
102,102,P103,2
103,103,P104,1
104,104,P105,1
105,105,P106,4
106,106,P107,10
107,107,P108,0
108,108,P109,3
109,109,P110,3
110,110,P111,1
111,111,P112,22
112,112,P113,16
113,113,P114,3
114,114,P115,4
115,115,P116,4
116,116,P117,1
117,117,P118,4
118,118,P119,19
119,119,P120,16
120,120,P121,4
121,121,P122,1
122,122,P123,0
123,123,P124,0
124,124,P125,2
125,125,P126,0
126,126,P127,0
127,127,P128,18
128,128,P129,17
129,129,P130,15
130,130,P131,19
131,131,P132,20
132,132,P133,17
133,133,P134,19
134,134,P135,16
135,135,P136,16
136,136,P137,22
137,137,P138,19
138,138,P139,21
139,139,P140,19
140,140,P141,16
141,141,P142,16
142,142,P143,16
143,143,P144,2
144,144,P145,4
145,145,P146,3
146,146,P147,3
147,147,P148,0
148,148,P149,4
149,149,P150,0
150,150,P151,0
151,151,P152,3
152,152,P153,4
153,153,P154,2
154,154,P155,1
155,155,P156,0
156,156,P157,3
157,157,P158,0
158,158,P159,1
159,159,P160,3
160,160,P161,1
161,161,P162,2
162,162,P163,0
163,163,P164,1
164,164,P165,3
165,165,P166,4
166,166,P167,16
167,167,P168,18
168,168,P169,17
169,169,P170,14
170,170,P171,2
171,171,P172,18
172,172,P173,15
173,173,P174,19
174,174,P175,19
175,175,P176,13
176,176,P177,17
177,177,P178,19
178,178,P179,19
179,179,P180,12
180,180,P181,15
181,181,P182,15
182,182,P183,18
183,183,P184,15
184,184,P185,22
185,185,P186,20
186,186,P187,14
187,187,P188,16
188,188,P189,20
189,189,P190,21
190,190,P191,18
191,191,P192,15
192,192,P193,21
193,193,P194,19
194,194,P195,0
195,195,P196,18
196,196,P197,2
197,197,P198,3
198,198,P199,0
199,199,P200,5
200,200,P201,1
201,201,P202,5
202,202,P203,1
203,203,P204,0
204,204,P205,5
205,205,P206,0
206,206,P207,1
207,207,P208,15
208,208,P209,4
209,209,P210,4
210,210,P211,4
211,211,P212,0
212,212,P213,0
213,213,P214,0
214,214,P215,0
215,215,P216,0
216,216,P217,0
217,217,P218,0
218,218,P219,0
219,219,P220,0
220,220,P221,0
221,221,P222,0
222,222,P223,0
223,223,P224,0
224,224,P225,0
225,225,P226,0
226,226,P227,0
227,227,P228,0
228,228,P229,0
229,229,P230,0
230,230,P231,0
231,231,P232,0
232,232,P233,0
233,233,P234,0
234,234,P235,0
235,235,P236,0
236,236,P237,0
237,237,P238,0
238,238,P239,0
239,239,P240,0
240,240,P241,0
241,241,P242,0
242,242,P243,0
243,243,P244,0
244,244,P245,0
245,245,P246,0
246,246,P247,0
247,247,P248,0
248,248,P249,0
249,249,P250,0
250,250,P251,0
251,251,P252,0
252,252,P253,0
253,253,P254,0
254,254,P255,0
255,255,P256,0
256,256,P257,0
