,JobpostID,Duration
1,1,DURATION:  3 months
2,2,POSITION DURATION:   Renewable annual contract
7,7,DURATION:  6 months
11,11,DURATION:  6 months
12,12,POSITION DURATION:   5 year
17,17,POSITION DURATION:   3 months initial. 
22,22,POSITION DURATION: 30 month position   
23,23,POSITION DURATION:   3 year
26,26,DURATION:  17-18 April 2004
28,28,DURATION:  3 days
34,34,DURATION:  3 week
39,39,DURATION:  Two months (with possible prolongation)
52,52,DURATION:  Flexible
55,55,POSITION DURATION:   3 year
59,59,POSITION DURATION:   24 months
65,65,POSITION DURATION:   Long-term. Depended on demonstrated achievements.
66,66,POSITION DURATION:   3 months initial
69,69,POSITION DURATION:   One month
71,71,"POSITION DURATION:   This is a long-term position, of 18 month-duration,"
72,72,PROJECT DURATION:   maximum 6 months
73,73,PROJECT DURATION:   20 years
81,81,PROJECT DURATION:   Long-term
93,93,PROJECT DURATION:   Contracts of employment will be for a total of 28
94,94,PROJECT DURATION:   Contracts of employment will be for a total of 28
96,96,PROJECT DURATION:   Contracts of employment will be for a total of 28
103,103,PROJECT DURATION:   Long-term
108,108,PROJECT DURATION: 24 months with a 2-month probation period and an
109,109,PROJECT DURATION:   6 months (likely to be extended beyond this date)
110,110,DURATION:  Duration of internship is 3 months on paid basis.
112,112,PROJECT DURATION:   One year (assuming successful completion of initial
118,118,DURATION:   27-30 May 2004
125,125,DURATION:  6 months and 3 months
127,127,DURATION:  6 months and 3 months
129,129,PROJECT DURATION:   4 months assignment
141,141,PROJECT DURATION:   24 May - 21 August 2004
142,142,PROJECT DURATION:   24 May - 21 August 2004
143,143,PROJECT DURATION:   24 May - 21 August 2004
144,144,PROJECT DURATION:   24 May-21 August 2004
145,145,PROJECT DURATION:   24 May - 21 August 2004
146,146,DURATION:  3 months on paid basis.
150,150,PROJECT DURATION:   24 May - 21 August 2004
159,159,DURATION:  The all-day training will run from 10 AM up to 5 PM on 06
170,170,"PROJECT DURATION:   Minimum 2 years, with possibility for extension"
185,185,DURATION:  Permanent
187,187,DURATION:  3 days
188,188,DURATION:  10 days
189,189,DURATION:  10 days
197,197,DURATION:  3 days
198,198,DURATION:  3 days
200,200,DURATION:  3 days
202,202,DURATION:  3 month
242,242,DURATION:  Continuos
250,250,DURATION:  3 months probation with extension up to 1 year
251,251,DURATION:  May - 31 December 2004
252,252,DURATION:  Long Term
258,258,DURATION:  3 months probation with extension up to 1 year
272,272,DURATION:  Approx. two and a half months
274,274,DURATION:  Approx. two and a half months
295,295,DURATION:  Long-term
303,303,DURATION:  Long-term
304,304,DURATION:  Long term
305,305,DURATION:  2 years non-renewable term appointment
308,308,DURATION:  Long term
320,320,DURATION:  Continuos
328,328,DURATION:  5 months
329,329,"DURATION:  These is a long-term position, with an initial probationary"
331,331,DURATION:  Long-Term (With 1 month initial probation period.)
342,342,DURATION:  One year (assuming successful completion of initial
346,346,DURATION:  4 days
348,348,DURATION:  Continuos
351,351,DURATION:  10 months (likely to be extended beyond this date)
352,352,DURATION:  one year
357,357,DURATION:  36 months
376,376,DURATION:  01 Octorber 04 - 01 September 05
378,378,DURATION:  1 Year
379,379,"DURATION:  This is a long-term position, with an initial probationary"
381,381,DURATION:  1 Year
386,386,DURATION:  June 2005
396,396,DURATION:  Long-term position
398,398,DURATION:  2 weeks
404,404,"DURATION:  08.04-08.05 , renewable contract"
414,414,DURATION:  3 years
419,419,"DURATION:  From 01 August 2004 till 20 September 2004, 2-3 days per week"
421,421,DURATION:  Full time
422,422,DURATION:  Full time
423,423,DURATION:  Long-term
429,429,DURATION:  2 weeks
431,431,DURATION:  Continuous
432,432,DURATION:  Continuous
