,JobpostID,Location
0,0,"POSITION LOCATION: Yerevan, Armenia"
1,1,"LOCATION:  IREX Armenia Main Office; Yerevan, Armenia "
2,2,"POSITION LOCATION: Yerevan, Armenia"
3,3,"POSITION LOCATION: Manila, Philippines"
4,4,"POSITION LOCATION: Yerevan, Armenia"
5,5,"POSITION LOCATION: Yerevan, Armenia"
6,6,"POSITION LOCATION: Yerevan, Armenia"
7,7,LOCATION:  IREX Armenia Main Office
8,8,"POSITION LOCATION: Yerevan, Armenia"
11,11,LOCATION:  IREX Armenia Main Office
12,12,"POSITION LOCATION: Tashkent, Uzbekistan Pending funding."
13,13,"POSITION LOCATION: Ijevan town, Tavush, Armenia."
14,14,"POSITION LOCATION: Yerevan, Armenia"
15,15,"POSITION LOCATION: Yerevan, Armenia"
18,18,"POSITION LOCATION: Yerevan, Armenia "
19,19,"POSITION LOCATION: Yerevan, Armenia"
20,20,"POSITION LOCATION: London, UK"
21,21,"POSITION LOCATION: Yerevan, Armenia"
22,22,"POSITION LOCATION: Tbilisi, Georgia"
23,23,"POSITION LOCATION: Yerevan, Armenia"
24,24,"POSITION LOCATION: Yerevan, Armenia"
25,25,"POSITION LOCATION: Yerevan, Armenia"
27,27,"POSITION LOCATION: Yerevan, Armenia"
28,28,"LOCATION:  Yerevan, Armenia"
29,29,"POSITION LOCATION: Yerevan, Armenia"
30,30,"POSITION LOCATION: Yerevan, Armenia"
34,34,"LOCATION:  Yerevan, Armenia"
35,35,"POSITION LOCATION: Yerevan, Armenia"
36,36,"POSITION LOCATION: Yerevan, Armenia"
37,37,"POSITION LOCATION: Yerevan, Armenia"
39,39,"LOCATION:  Yerevan, Armenia"
40,40,POSITION LOCATION: Central Asia
41,41,"POSITION LOCATION: Bam, Iran"
42,42,"POSITION LOCATION: Yerevan, Armenia"
43,43,POSITION LOCATION: Ghana 
44,44,POSITION LOCATION: Middle East
45,45,"POSITION LOCATION: Yerevan, Armenia"
46,46,"POSITION LOCATION: Vanadzor, Armenia"
47,47,"POSITION LOCATION: Yerevan, Armenia"
49,49,"POSITION LOCATION: Yerevan, Armenia"
50,50,"POSITION LOCATION: Gyumri, Shirak Region, permanent residence is not"
51,51,"POSITION LOCATION: Gyumri, Shirak Region, permanent residence is not"
52,52,"POSITION LOCATION: Yerevan, Armenia"
53,53,"POSITION LOCATION:  Sisian, Armenia"
54,54,POSITION LOCATION: Yerevan and different marzes of RA
55,55,"POSITION LOCATION: Yerevan, Armenia"
56,56,"POSITION LOCATION: Kotaik region, Armenia"
57,57,"POSITION LOCATION: Lori Marz and Yerevan, Armenia"
58,58,"POSITION LOCATION: Yerevan, Armenia"
59,59,POSITION LOCATION: The location is in Tashkent in the Republic of
61,61,"POSITION LOCATION: Sisian, Armenia"
62,62,"POSITION LOCATION: Yerevan, Armenia"
63,63,"POSITION LOCATION:The Regional Director position is based in Tbilisi,"
64,64,"POSITION LOCATION: Sisian, Armenia"
65,65,"POSITION LOCATION: Yerevan, Armenia"
66,66,"POSITION LOCATION: Yerevan, Armenia"
67,67,"POSITION LOCATION: Yerevan, Armenia"
68,68,"LOCATION:  Yerevan, Armenia"
69,69,"POSITION LOCATION: Yerevan, Armenia"
70,70,"POSITION LOCATION: Yerevan, Armenia"
71,71,RELOCATION PACKAGE: Available 
72,72,"PROJECT LOCATION: Lori Marz, Armenia"
73,73,"POSITION LOCATION:   Yerevan, Armenia"
74,74,"POSITION LOCATION:   Yerevan, Armenia"
75,75,"POSITION LOCATION:   Yerevan, Armenia"
76,76,"POSITION LOCATION:   Yerevan, Armenia"
77,77,"POSITION LOCATION:   Yerevan, Armenia"
78,78,"POSITION LOCATION:   Yerevan, Armenia"
80,80,"POSITION LOCATION:   Yerevan, Armenia"
81,81,"POSITION LOCATION:   Yerevan, Armenia"
82,82,"POSITION LOCATION:   Yerevan, Armenia"
83,83,"POSITION LOCATION:   Yerevan, Armenia"
85,85,"POSITION LOCATION:   Headquarters, Silver Spring, MD, USA"
86,86,"POSITION LOCATION:   London, UK"
87,87,"POSITION LOCATION:   Yerevan, Armenia"
88,88,"POSITION LOCATION:   Yerevan, Armenia"
89,89,"POSITION LOCATION:   Yerevan, Armenia"
90,90,"POSITION LOCATION:   Yerevan, Armenia"
91,91,"POSITION LOCATION:   Yerevan, Armenia"
92,92,"POSITION LOCATION:   Yerevan, Armenia"
93,93,"POSITION LOCATION:   Yerevan, Armenia"
94,94,"POSITION LOCATION:   Yerevan, Armenia"
95,95,"POSITION LOCATION:   Yerevan, Armenia"
96,96,"POSITION LOCATION:   Yerevan, Armenia"
97,97,"POSITION LOCATION:   Gegharkunik Marz, Armenia"
99,99,"POSITION LOCATION:   Yerevan, Armenia"
101,101,"POSITION LOCATION:   Yerevan, Armenia"
102,102,"POSITION LOCATION:   Yerevan, Armenia"
103,103,"POSITION LOCATION:   Yerevan, Armenia"
104,104,"POSITION LOCATION:   Yerevan, Armenia"
107,107,"POSITION LOCATION:   Yerevan, Armenia"
108,108,"POSITION LOCATION:   Yerevan, Armenia"
109,109,"POSITION LOCATION:   Yerevan, Armenia "
110,110,"LOCATION:  Yerevan, Armenia"
111,111,"POSITION LOCATION:   Yerevan, Armenia"
112,112,"POSITION LOCATION:   Yerevan, Armenia"
113,113,"POSITION LOCATION:   Yerevan, Armenia"
114,114,"POSITION LOCATION:   Yerevan, Armenia"
115,115,"POSITION LOCATION:   Yerevan, Armenia"
116,116,"POSITION LOCATION:   Yerevan, Armenia"
117,117,"POSITION LOCATION:   Yerevan, Armenia"
118,118,"LOCATION:   Strasbourg, France "
120,120,"POSITION LOCATION:   Yerevan, Armenia"
121,121,"POSITION LOCATION:   Ijevan town, Tavush marz, Armenia."
122,122,"POSITION LOCATION:   Yerevan, Armenia"
124,124,"LOCATION:  Budapest, Hungary"
125,125,"LOCATION:  IATP Armenia Main Office, Yerevan"
126,126,"POSITION LOCATION:   Yerevan, Armenia"
127,127,"LOCATION:  IREX Academic Programs Main Office, Yerevan, Armenia "
129,129,"POSITION LOCATION:   Yerevan, Armenia"
131,131,"POSITION LOCATION:   Yerevan, Armenia"
132,132,"POSITION LOCATION:   Yerevan, Armenia"
133,133,"POSITION LOCATION:   Vanadzor, Armenia"
134,134,"POSITION LOCATION:   Yerevan, Armenia"
135,135,"POSITION LOCATION:   Yerevan, Armenia"
136,136,POSITION LOCATION:   Worldwide
137,137,POSITION LOCATION:   Worldwide
138,138,POSITION LOCATION:   Worldwide
139,139,POSITION LOCATION:   Worldwide
140,140,POSITION LOCATION:   Worldwide
141,141,POSITION LOCATION:  The Trainers will live in Dilidjan (driving time
142,142,POSITION LOCATION:  The Trainers will live in Dilidjan (driving time
143,143,POSITION LOCATION:   The Trainers will live in Dilijan (driving time
144,144,POSITION LOCATION:  The Trainers will live in Dilijan (driving time from
145,145,POSITION LOCATION:   The Trainers will live in Dilijan (driving time
146,146,"LOCATION:  Yerevan, Armenia"
147,147,"POSITION LOCATION:   Yerevan, Armenia"
148,148,"POSITION LOCATION:   Yerevan, Armenia"
149,149,"POSITION LOCATION:   Yerevan, Armenia"
150,150,POSITION LOCATION:  The Trainers will live in Dilidjan (driving time
151,151,"POSITION LOCATION:   Yerevan, Armenia"
154,154,POSITION LOCATION: Skopje  
155,155,"POSITION LOCATION:   Silver Spring, Maryland"
156,156,"POSITION LOCATION:   Yerevan, Armenia"
157,157,"POSITION LOCATION:   New York, NY, USA"
158,158,POSITION LOCATION:   Central Asia (Tajikistan)
159,159,LOCATION:  CRRC-Armenia center (Yerevan State University on 52 Abovyan
160,160,"POSITION LOCATION:   Armenia, Armenia"
161,161,"POSITION LOCATION:  Yerevan, Armenia"
162,162,"LOCATION:  Yerevan, Armenia"
163,163,"LOCATION:  Yerevan, Armenia"
164,164,"LOCATION:  Yerevan, Armenia"
165,165,"LOCATION:  Yerevan, Armenia"
167,167,POSITION LOCATION: Interviews will be conducted in villages close to
168,168,"POSITION LOCATION:   Gegharkunik Marz, Armenia"
169,169,"POSITION LOCATION:   Yerevan, Armenia"
170,170,POSITION LOCATION:  Likely the United Kingdom
171,171,POSITION LOCATION:   Thailand 
172,172,"POSITION LOCATION: Yerevan, Armenia"
173,173,"POSITION LOCATION: Yerevan, Armenia"
174,174,"POSITION LOCATION:   Yerevan, Armenia"
175,175,"POSITION LOCATION:   Yerevan, Armenia"
176,176,"POSITION LOCATION: Vanadzor, Armenia"
177,177,"POSITION LOCATION:   Yerevan, Armenia"
178,178,"POSITION LOCATION:   Yerevan, Armenia"
179,179,"POSITION LOCATION:  Yerevan, Armenia"
180,180,"POSITION LOCATION: Yerevan, Armenia"
181,181,"LOCATION:  Yerevan, Armenia"
182,182,"LOCATION:  Yerevan, Armenia"
183,183,"LOCATION:  Yerevan, Armenia"
184,184,"LOCATION:  Yerevan, Armenia"
185,185,"LOCATION:  Yerevan, Armenia"
186,186,"LOCATION:  Yerevan, Armenia"
187,187,"LOCATION:  Stepanakert, Nagorno Karabakh Republic"
188,188,LOCATION:  Yerevan and various regions of Armenia.
189,189,LOCATION:  Yerevan and various regions of Armenia.
190,190,"LOCATION:  Yerevan, Armenia"
191,191,"LOCATION:  Yerevan, Armenia"
192,192,"LOCATION:  Vanadzor, Armenia"
193,193,"LOCATION:  Lori and Gegharkunik regions, Armenia"
194,194,"LOCATION:  Yerevan, Armenia"
195,195,"LOCATION:  Vanadzor, Armenia"
196,196,"LOCATION:  Yerevan, Armenia"
197,197,"LOCATION:  Yerevan, Armenia"
198,198,"LOCATION:  Yerevan, Armenia"
199,199,"LOCATION:  Yerevan, Armenia"
200,200,"LOCATION:  Yerevan, Armenia"
201,201,"LOCATION:  Yerevan, Armenia"
202,202,"LOCATION:  Yerevan, Armenia"
203,203,"LOCATION:  Yerevan, Armenia"
204,204,"LOCATION:  Yerevan, Armenia"
205,205,"LOCATION:  Yerevan, Armenia"
206,206,"LOCATION:  Yerevan, Armenia"
207,207,"LOCATION:  Yerevan, Armenia"
208,208,"LOCATION:  Yerevan, Armenia"
209,209,"LOCATION:  Sisian Region, Armenia"
210,210,"LOCATION:  Yerevan, Armenia"
211,211,"LOCATION:  Spitak, Armenia"
212,212,"LOCATION:  Arabkir district, Yerevan, Armenia"
213,213,"LOCATION:  Yerevan, Armenia"
214,214,"LOCATION:  Yerevan, with travel to regions"
215,215,"LOCATION:  Yerevan, Armenia"
216,216,"LOCATION:  Moscow, Russia"
217,217,LOCATION:  Armenian Field Office. The project will be implemented in all
218,218,"LOCATION:  Moscow, Russia"
219,219,"LOCATION:  Moscow, Russia"
220,220,"LOCATION:  Yerevan, Armenia"
221,221,"LOCATION:  Yerevan, Armenia"
222,222,"LOCATION:  World Vision Armenia' National office, Yerevan with extensive"
223,223,"LOCATION:  CMI, Yerevan, Armenia"
224,224,"LOCATION:  CMI, Yerevan, Armenia"
225,225,"LOCATION:  Yerevan, Armenia"
226,226,"LOCATION:  Miami, Florida, USA"
227,227,"LOCATION:  Yerevan, Armenia"
228,228,"LOCATION:  Genve, Switzerland"
229,229,"LOCATION:  Yerevan, Armenia"
230,230,"LOCATION:  Yerevan, Armenia"
231,231,"LOCATION:  Yerevan, Armenia"
232,232,"LOCATION:  Yerevan, Armenia"
233,233,"LOCATION:  Yerevan, Armenia"
234,234,"LOCATION:  Washington, DC"
235,235,"LOCATION:  Yerevan, Armenia"
236,236,"LOCATION:  Washington, DC"
237,237,"LOCATION:  Yerevan, Armenia"
238,238,"LOCATION:  New York, NY, USA"
239,239,"LOCATION:  Yerevan, Armenia"
240,240,"LOCATION:  Yerevan, Armenia"
241,241,"LOCATION:  Yerevan, Armenia"
242,242,"LOCATION:  Armenia, Village Merdzavan (on the road to Zvardnots)"
243,243,"LOCATION:  Tbilisi, Georgia"
244,244,"LOCATION:  Yerevan, Armenia"
245,245,"LOCATION:  Sharjah, United Arab Emirates"
246,246,"LOCATION:  Yerevan, Armenia"
247,247,"LOCATION:  Yerevan, Armenia"
248,248,"LOCATION:  Yerevan, Armenia"
249,249,"LOCATION:  Yerevan, Armenia"
250,250,"LOCATION:  Yerevan, Armenia, with travel to regions"
251,251,"LOCATION:  Yerevan, Armenia"
252,252,"LOCATION:  Yerevan, Armenia"
253,253,"LOCATION:  Yerevan, Armenia"
254,254,"LOCATION:  Yerevan, Armenia"
255,255,LOCATION:  Malaysia
256,256,"LOCATION:  Yerevan, Armenia"
257,257,"LOCATION:  Yerevan, Armenia"
258,258,"LOCATION:  Yerevan, Armenia, with travel to regions"
259,259,"LOCATION:  Yerevan, Armenia"
260,260,"LOCATION:  Yerevan, Armenia with travel to regions and NK"
261,261,"LOCATION:  Tbilisi, Georgia"
262,262,"LOCATION:  Tbilisi, Georgia"
263,263,"LOCATION:  Tbilisi, Georgia"
264,264,"LOCATION:  Tbilisi, Georgia"
265,265,"LOCATION:  Tbilisi, Georgia"
266,266,"LOCATION:  Tbilisi, Georgia"
267,267,"LOCATION:  Tbilisi, Georgia"
268,268,"LOCATION:  Ijevan town, Tavush, Armenia."
269,269,"LOCATION:  Vanadzor, Armenia"
270,270,"LOCATION:  Yerevan, Armenia"
271,271,"LOCATION:  Yerevan, Armenia"
272,272,"LOCATION:  Yerevan, Armenia"
273,273,LOCATION:  IREX Media Innovations Program/Armenia
274,274,"LOCATION:  Yerevan, Armenia"
275,275,"LOCATION:  Yerevan, Armenia"
276,276,"LOCATION:  Yerevan, Armenia"
277,277,"LOCATION:  Yerevan, Armenia"
278,278,"LOCATION:  Yerevan, Armenia"
279,279,"LOCATION:  Yerevan, Armenia"
280,280,"LOCATION:  Florida, USA"
281,281,"LOCATION:  Florida, USA"
282,282,"LOCATION:  Florida, USA"
283,283,"LOCATION:  Florida, USA"
284,284,LOCATION:  All
285,285,"LOCATION:  Yerevan, Armenia"
286,286,LOCATION:  Georgia
287,287,"LOCATION:  Batumi, Georgia"
288,288,"LOCATION:  Batumi, Georgia"
289,289,"LOCATION:  Tbilisi, Georgia"
290,290,"LOCATION:  Batumi, Georgia"
291,291,"LOCATION:  Tbilisi, Georgia"
292,292,"LOCATION:  Tbilisi, Georgia"
293,293,LOCATION:  Country Office
294,294,"LOCATION:  Tbilisi, Georgia"
295,295,"LOCATION:  Yerevan, Armenia"
296,296,"LOCATION:  Gyumri, Armenia"
297,297,"LOCATION:  Yerevan, Armenia"
298,298,"LOCATION:  Yerevan, Armenia"
299,299,"LOCATION:  Yerevan, Armenia"
300,300,"LOCATION:  Yerevan, Armenia"
301,301,"LOCATION:  Yerevan, Armenia"
302,302,"LOCATION:  Yerevan, Armenia"
303,303,"LOCATION:  Yerevan, Armenia"
304,304,"LOCATION:  Yerevan, Armenia"
305,305,"LOCATION:  Yerevan, Armenia"
306,306,"LOCATION:  Sisian, Armenia"
307,307,"LOCATION:  Yerevan, Armenia"
308,308,"LOCATION:  Yerevan, Armenia"
309,309,"LOCATION:  Tbilisi, Georgia"
310,310,"LOCATION:  Yerevan, Armenia"
311,311,"LOCATION:  Yerevan, Armenia"
312,312,"LOCATION:  Yerevan, Armenia"
313,313,"LOCATION:  Yerevan, Armenia"
314,314,"LOCATION:  Yerevan, Armenia"
315,315,"LOCATION:  Yerevan, Armenia"
316,316,"LOCATION:  Yerevan, Armenia"
317,317,"LOCATION:  Yerevan, Armenia"
318,318,"LOCATION:  Yerevan, Armenia"
319,319,"LOCATION:  Yerevan, Armenia"
320,320,"LOCATION:  Yerevan, Armenia"
321,321,"LOCATION:  Yerevan, Armenia"
322,322,"LOCATION:  Yerevan, Armenia"
323,323,"LOCATION:  Yerevan, Armenia"
324,324,"LOCATION:  Yerevan, Armenia"
325,325,"LOCATION:  Yerevan, Armenia"
326,326,"LOCATION:  Tbilisi, Georgia"
327,327,"LOCATION:  Yerevan, Armenia"
328,328,LOCATION:  Yerevan
329,329,"LOCATION:  Yerevan, Armenia"
330,330,"LOCATION:  Yerevan, Armenia"
331,331,"LOCATION:  Yerevan, Armenia"
332,332,"LOCATION:  Sharjah, UAE"
333,333,"LOCATION:  Vanadzor, Armenia"
334,334,"LOCATION:  Yerevan, Armenia"
335,335,"LOCATION:  Yerevan, Armenia"
336,336,"LOCATION:  Yerevan, Armenia"
