,JobpostID,Title
0,0,JOB TITLE:  Chief Financial Officer
1,1,TITLE:   Full-time Community Connections Intern (paid internship)
2,2,JOB TITLE:  Country Coordinator
3,3,JOB TITLE:  BCC Specialist
4,4,JOB TITLE:  Software Developer
5,5,JOB TITLE:  Saleswoman
6,6,JOB TITLE:  Chief Accountant/ Finance Assistant
7,7,TITLE:   Non-paid part or full time Programmatic Intern
8,8,JOB TITLE:  Assistant to Managing Director
9,9,"JOB TITLE:     Program Assistant (INL), FSN-8; FP-6*"
10,10,TITLE:   Short-Term Travel Grants (STG) Program
11,11,TITLE:   Non-paid part or full time Administrative Intern
12,12,JOB TITLE:  Chief of Party (COP)
13,13,"JOB TITLE:  Community Development, Capacity Building and Conflict"
14,14,JOB TITLE:  General Manager
15,15,JOB TITLE:  Network Administrator
16,16,TITLE:   Utopian World Championship 2004
17,17,JOB TITLE:  Country Economist (NOB)
18,18,JOB TITLE:  Driver/ Logistics Assistant
19,19,JOB TITLE:  Graphic Designer
20,20,JOB TITLE:  Administrative Assistant
21,21,JOB TITLE:  Lawyer
22,22,JOB TITLE:  Marketing Advisor
23,23,JOB TITLE:  Chief/ Supervisor of Programs Department
24,24,JOB TITLE:  Journalism Trainer
25,25,JOB TITLE:  Deputy Program Director
26,26,TITLE:   Student Forum: Student Conference and Debate Forum (April 17 -
27,27,JOB TITLE:  Reporting Diversity Workshop for Journalists
28,28,TITLE:   Reporting Diversity Workshop for Journalists
29,29,JOB TITLE:  Chief Accountant
30,30,JOB TITLE:  Consultant (short-term)
31,31,"JOB TITLE:     Guard, FSN-2; FP-CC*"
32,32,JOB TITLE:  Training Officer
33,33,"JOB TITLE:     Chauffeur, FSN-3; FP-BB*"
34,34,TITLE:   Demographic Analysis Workshop
35,35,JOB TITLE:  Programmer
36,36,JOB TITLE:  Tester
37,37,JOB TITLE:  Receptionist
38,38,TITLE:   German Internships for Young Practicing Journalists from NIS
39,39,TITLE:   Volunteer/ Intern
40,40,JOB TITLE:  Team Leader/ Chief of Party
41,41,JOB TITLE:  Program Manager - Children's Programs
42,42,JOB TITLE:  Receptionist
43,43,JOB TITLE:  Chief of Party
44,44,JOB TITLE:  Quality Assurance/ Health Systems Management Advisor 
45,45,JOB TITLE:  Teacher of Information Technologies
46,46,JOB TITLE:  Cashier
47,47,JOB TITLE:  Medical Monitor 
48,48,"JOB TITLE:     Telephone Operator, FSN-4; FP-AA*"
49,49,JOB TITLE:  English as a Second Language/ TOEFL/ TWE/ TSE Instructors
50,50,JOB TITLE:  Programs Manager
51,51,JOB TITLE:  Proposal Writer
52,52,JOB TITLE:  English Language Conversation Partners
53,53,JOB TITLE:  Accountant
54,54,JOB TITLE:  Trainers/ Consultants and Moderators/ Facilitators
55,55,JOB TITLE:  Chief/ Supervisor of Programs Department
56,56,JOB TITLE:  Manufacturing Chief 
57,57,JOB TITLE:  Driver
58,58,JOB TITLE:  General Manager
59,59,JOB TITLE:  Experts
60,60,"JOB TITLE:  Online Business Associates (part time, work from home)"
61,61,JOB TITLE:  Loan Promoter 
62,62,JOB TITLE:  Country Director
63,63,JOB TITLE:Regional Director 
64,64,JOB TITLE:  Administrative Assistant/ Secretary
65,65,JOB TITLE:  Program Expert
66,66,JOB TITLE:  Project Coordinator
67,67,JOB TITLE:  Salesman / Trade agent
68,68,TITLE:   Administrative & Program Internships
69,69,JOB TITLE:  Admin/ Finance Clerk - 2004/ 001
70,70,JOB TITLE:  Software Developers
71,71,JOB TITLE:  Training and Institutional Capacity Building Specialist
72,72,TITLE:   Community Education Campaign to Combat STIs/HIV/AIDS
73,73,JOB TITLE:   Director of Finance and Accounting
74,74,JOB TITLE:   Accountant
75,75,JOB TITLE:   Project Coordinator
76,76,JOB TITLE:   Graphic Designer
77,77,JOB TITLE:   Administrative Assistant
78,78,JOB TITLE:   Supply Officer
79,79,TITLE:   Teaching Grants
80,80,JOB TITLE:   Assistant to Director/ Translator
81,81,JOB TITLE:   Managing Director
82,82,JOB TITLE:   Project Assistant
83,83,JOB TITLE:   MMT Project Manager
84,84,JOB TITLE:   Health Coordinators (two positions are open)
85,85,JOB TITLE:   Communication Assistant 
86,86,JOB TITLE:   Consultant 
87,87,JOB TITLE:   Legal and Finance Assistant (part-time)
88,88,JOB TITLE:   Manager of Information Systems
89,89,JOB TITLE:   Program Specialist for Health/ Social Programs
90,90,JOB TITLE:   Driver (contractual basis)
91,91,JOB TITLE:   Project Assistant
92,92,JOB TITLE:   Software Developer  
93,93,JOB TITLE:   Translator/ Interpreter  (AVET3)   
94,94,JOB TITLE:   Office Secretary (AVET2)   
95,95,JOB TITLE:   Project Manager
96,96,JOB TITLE:   Office Manager (AVET1)   
97,97,JOB TITLE:   English Translator/ Interpreter   
98,98,TITLE:   Kurt Schork Awards in International Journalism
99,99,JOB TITLE:   Administrative Assistant
100,100,"JOB TITLE:     Political Assistant, FSN-9; FP-05* (steps 1-4)"
101,101,JOB TITLE:   Technical Project Manager
102,102,JOB TITLE:   AutoCAD Operator
103,103,JOB TITLE:   Chemist - Organic/ Polymer
104,104,JOB TITLE:   Language and Administrative Assistant
105,105,TITLE:   Annual Program Statement: Implementation and Extension of
106,106,TITLE:   International Prize for R&D in Biomedicine and New Technologies
107,107,JOB TITLE:   Mobile Medical Team (MMT) Project Manager
108,108,JOB TITLE:   CPCO Officer
109,109,JOB TITLE:   Project Officer
110,110,FUNCTIONAL TITLE:  Project Officer of Community Self-Help Fund Program
111,111,TITLE:   Intern
112,112,JOB TITLE:   Game Developer Specialist
113,113,JOB TITLE:   Executive Director
114,114,JOB TITLE:   Corporate Director
115,115,JOB TITLE:   IT Teacher  (full time)
116,116,"JOB TITLE:   Marketing Specialist, Commodity Export"
117,117,"JOB TITLE:   Assistant to Director, Translator/ Interpreter"
118,118,JOB TITLE:   IT Specialist  (full time)
119,119,TITLE:   NGO Training on the Framework Convention for the Protection of
120,120,TITLE:   Human Rights Award
121,121,JOB TITLE:   Accountant/ Financial Officer
122,122,"JOB TITLE:   Community Development, Capacity Building and Conflict"
123,123,JOB TITLE:   Web Designer
124,124,TITLE:   Global Supplementary Grant Program
125,125,TITLE:   Small Grants Pilot Projects on Human Rights Education
126,126,TITLE:   Administrative and Programmatic Intern
127,127,JOB TITLE:   Financial Manager
128,128,TITLE:   Administrative and Programmatic Intern
129,129,JOB TITLE:   Finance Assistant/ Accountant
130,130,JOB TITLE:   Engineer/ Supervisor for the Global Fund Project
131,131,JOB TITLE:   Project Development Officer
132,132,4. POSITION TITLE: Project Development Officer
133,133,JOB TITLE:   Project Deputy Director
134,134,JOB TITLE:   Sales & Marketing Specialist
135,135,JOB TITLE:   Loan Promoter
136,136,JOB TITLE:   Executive Assistant (part time)
137,137,JOB TITLE:   Senior Database Administrator 
138,138,JOB TITLE:   International Banking and Financial Sector Expert
139,139,JOB TITLE:   Privatization Expert
140,140,JOB TITLE:   Pensions and Social Insurance Expert
141,141,JOB TITLE:   Country Director
142,142,JOB TITLE:   Leather and Textile Industry Expert
143,143,JOB TITLE:  Armenian Language & Cross-Cultural Facilitator (LCF) (short
144,144,JOB TITLE:  Environmental Education (EE) Technical Coordinator (short
145,145,JOB TITLE:   BECD Technical Coordinator (short tirm) - Pre-Service
146,146,JOB TITLE:   Community Health Education (CHE) Technical Coordinator
147,147,JOB TITLE:   TEFL Technical Coordinator (short tirm) - Pre-Service
148,148,TITLE:  Intern
149,149,JOB TITLE:   SalesMan - Advisor
150,150,JOB TITLE:   Sales Technical Adviser 
151,151,JOB TITLE:   Sales Clerk/ Referent
152,152,JOB TITLE:  Introduction to Community Development and Culture
153,153,JOB TITLE:   Administrative Assistant
154,154,TITLE:   Women PeaceMakers Program
155,155,JOB TITLE:   Project Associate
156,156,JOB TITLE:   Chief of Party
157,157,JOB TITLE:   Latin America Manager
158,158,JOB TITLE:   Scriptwriters
159,159,JOB TITLE:   Deputy Director 
160,160,JOB TITLE:   Expatriate Microfinance Consultant
161,161,TITLE:   Survey Sampling: Methodology and Practice
162,162,JOB TITLE:   Program Officer
163,163,JOB TITLE:   Manager (Traffic/ Account)
164,164,TITLE:  Grants Manager
165,165,TITLE:  Project Assistant
166,166,TITLE:  Finance Manager/Accountant 
167,167,TITLE:  Artist - Designer
168,168,"JOB TITLE:    Secretary, FSN-5; FP-9*"
169,169,JOB TITLE:   Interviewers for Market Research (6 positions) - Short term
170,170,JOB TITLE:  Information Education Communication (IEC) Assistant
171,171,JOB TITLE:   Refurbish center manager
172,172,JOB TITLE:   Manager
173,173,JOB TITLE:   European Team Leader for Health Care Reform Project
174,174,JOB TITLE:  Communications Manager
175,175,JOB TITLE:  Technical Security Engineer
176,176,JOB TITLE:    Translator (general)  
177,177,JOB TITLE:   Secretary/ Referent
178,178,JOB TITLE:  Administrative Officer
179,179,JOB TITLE:  Translator (Telecommunications/ Regulatory/ IT)
180,180,JOB TITLE:   Junior Business Consultant
181,181,JOB TITLE:   Senior Software Developer (several positions)
182,182,JOB TITLE:  Administrative Officer
183,183,TITLE:  Secretary/ Referent
184,184,TITLE:  Merchandiser
185,185,TITLE:  Van-Salesman
186,186,TITLE:  Technical Writer
187,187,TITLE:  Secretary / office helper
188,188,TITLE:  Van-Salesman
189,189,TITLE:  Diversity Workshop for Journalists
190,190,TITLE:  Team Reporting Project for Journalists
191,191,TITLE:  Team Reporting Project for Journalists
192,192,TITLE:  Salesmen/ Trade Agents
193,193,TITLE:  Van Salesmen/Trade Agents
194,194,TITLE:  Artist - Designer
195,195,TITLE:  ADP Managers /RE- ANNOUNCEMENT/
196,196,TITLE:  Driver
197,197,TITLE:  Project Assistant
198,198,TITLE:  Web Designer
199,199,TITLE:  Hi-Tech Seminar on Software Process Improvement and Introduction
200,200,TITLE:  Hi-Tech Council Workshop on A Hands-On Approach to Developing
201,201,TITLE:  Web Developer/ Programmer
202,202,TITLE:  Hi-Tech Council Workshop on A Hands-On Approach to Developing
203,203,TITLE:  Web Designer
204,204,TITLE:  Volunteers
205,205,TITLE:  Computer Graphic Designer
206,206,TITLE:  Accountant
207,207,TITLE:  Sales Clerk / Referent
208,208,TITLE:  Merchandiser/ Trade Agent/ Marketing Manager
209,209,TITLE:  Administrative Assistant
210,210,TITLE:  Receptionist
211,211,TITLE:  Security Officer
212,212,TITLE:  Volunteers
213,213,TITLE:  IREX/IATP Trainer
214,214,TITLE:  Archhitect Designer
215,215,TITLE:  Private Teacher
216,216,TITLE:  Program Coordinator
217,217,"TITLE:  Guard, FSN-3; FP-BB*"
218,218,TITLE:  Tester / the Engineer of Quality Assurance (QC Engineer)
219,219,TITLE:  Puppet Director
220,220,TITLE:  Java/Web-programmer
221,221,TITLE:  Java-programmer
222,222,TITLE:  Accountant
223,223,TITLE:  Genocide in the 20th Century: A Comparison of the Armenian and
224,224,TITLE:  Health Coordinator
225,225,TITLE:  Covering Environmental Issues
226,226,TITLE:  Practical course for journalists in online journalism
227,227,TITLE:  Senior Protection Clerk
228,228,TITLE:  Master of Laws - Intercultural Human Rights
229,229,TITLE:  Quality Assurance Group Manager
230,230,TITLE:  Bilateral Diplomacy
231,231,TITLE:  Quality Assurance Senior Engineer
232,232,TITLE:  Quality Assurance Engineer
233,233,TITLE:  Quality Assurance Junior Engineer
234,234,TITLE:  Data Base Software Junior Engineer
235,235,TITLE:  Physical Design Software Engineer
236,236,TITLE:  Financial Analyst
237,237,TITLE:  Lawyer
238,238,TITLE:  Field Accounting Manager
239,239,TITLE:  Mechanical Design Engineer
240,240,TITLE:  Global Advocacy Director
241,241,TITLE:  Programmer
242,242,TITLE:  Programmer
243,243,TITLE:  Sales & Marketing Specialist
244,244,TITLE:  Cheif Accountant
245,245,TITLE:  Local Information Officer
246,246,TITLE:  Assistant to Information Point Coordinator in Armenia
247,247,TITLE:  Programmer
248,248,TITLE:  Network Administrator
249,249,TITLE:  Senior Democratization Assistant
250,250,"TITLE:  Visa Assistant, FSN-7; FP-07*"
251,251,"TITLE:  Taxation Specialist, Financial Control Department"
252,252,TITLE:  Driver for UNDP 00011256 Project
253,253,TITLE:  Project Assistant
254,254,TITLE:  Senior Java Developers
255,255,TITLE:  Web Programmer
256,256,TITLE:  ICT Specialist
257,257,TITLE:  Assistant/Associate Professors (5 posts)
258,258,TITLE:  Marketing Officer
259,259,TITLE:  Policy Officer
260,260,TITLE:  Project Associate
261,261,TITLE:  Junior Architect
262,262,TITLE:  Driver
263,263,TITLE:  Processing Manager
264,264,TITLE:  Chief Accountant
265,265,TITLE:  Principal Assistant to the Head of Office
266,266,TITLE:  Junior Internal Auditor
267,267,TITLE:  Credit Officer
268,268,TITLE:  Secretary/Chancellery Clerk
269,269,TITLE:  Accountant/Financial Analyst
270,270,TITLE:  Local Conflict Management consultant
271,271,TITLE:  ASTP Project Specialist
272,272,TITLE:  European Regional Open Source Conference & Workshop in Armenia
273,273,TITLE:  Sales representative
274,274,TITLE:  Foreign National Student Intern
275,275,TITLE:  Deputy Chief of Party/Targeted Media Loan Division
276,276,TITLE:  Foreign National Student Intern
277,277,TITLE:  Graphic Designer
278,278,TITLE:  Web Designer/ Developer
279,279,TITLE:  Web Designer/ Developer
280,280,TITLE:  Senior Expert  Economic Development Programs
281,281,TITLE:  Alumni Coordinator
282,282,TITLE:  International Banking and Financial Sector Expert
283,283,TITLE:  Leather and Textile Industry Expert
284,284,TITLE:  Privatization Expert
285,285,TITLE:  Pensions and Social Insurance Expert
286,286,TITLE:  Submitting Announcements Online at careercenter.am
287,287,TITLE:  Receptionist
288,288,TITLE:  Head of Corporate Customers Department
289,289,TITLE:  Microlending Unit Manager
290,290,TITLE:  Unit Lawyer/Administrator
291,291,TITLE:  Credit Methodology Expert
292,292,TITLE:  Microloan Officer
293,293,TITLE:  Project Manager
294,294,TITLE:  Administrative Assistant/Receptionist
295,295,"TITLE:  Country Coordinators Russia, Azerbaijan, Armenia"
296,296,TITLE:  Receptionist
297,297,TITLE:  Manager of Foreign Relations Department
298,298,TITLE:  Senior Expert  Economic Development Programs
299,299,TITLE:  Research Analyst
300,300,TITLE:  Procurement Specialist
301,301,"TITLE:  Escort; FP-BB*, FSN-3"
302,302,TITLE:  CEDC Psychologist in Special Institution
303,303,TITLE:  Child Protection Programs Technical/Logistics Assistant
304,304,TITLE:  CEDC Social Worker in Special Institution
305,305,TITLE:  Software Developer
306,306,TITLE:  Quality Assuarance Manager
307,307,TITLE:  Junior Prfessional Associate
308,308,TITLE:  Sisian ADP Manager
309,309,TITLE:  Lawyer
310,310,TITLE:  Vacancy Notice
311,311,TITLE:  Program Officer
312,312,TITLE:  Para-professional (Teacher's Aide)
313,313,TITLE:  Human Resource Department Manager
314,314,TITLE:  Translator / Interpreter
315,315,TITLE:  Administrative Intern
316,316,TITLE:  Health Manager
317,317,TITLE:  Global Fund PRIU Team Leader
318,318,TITLE:  Retail Analist
319,319,TITLE:  Fastfood and Pub Manager
320,320,TITLE:  Programmer
321,321,TITLE:  Designers
322,322,TITLE:  Training Manager
323,323,TITLE:  Programmer
324,324,TITLE:  IATP Mobile trainer
325,325,"TITLE:  System Administrator, Microsoft Web Developer, Microsoft Office"
326,326,TITLE:  Project Coordinator
327,327,TITLE:  Chief Financial Specialist
328,328,TITLE:  Rural Microlending Expert in Georgia
329,329,TITLE:  Finance Manager
330,330,TITLE:  Financial Control Clerk
331,331,TITLE:  Responsible for product
332,332,TITLE:  Customer Service Representative
333,333,TITLE:  Network Administrator
334,334,TITLE:  Senior Industrial Automation Engineer
335,335,TITLE:  Attn.: Volunteers from the NGO Sector in Vanadzor
336,336,TITLE:  Trade Agents
337,337,TITLE:  Teacher
338,338,TITLE:  Teacher of Statistics
339,339,TITLE:  Teacher of Management
340,340,TITLE:  Teacher of Economics
341,341,TITLE:  Teacher of Mathematics Applied To Management
342,342,TITLE:  Teacher of Marketing
343,343,"TITLE:  Program Director/Chief of Party, Business & Economics Program,"
344,344,TITLE:  Program Officer
345,345,TITLE:  US Program Coordinator for School Connectivity Programs
346,346,TITLE:  Health Manager (Re-advertisement)
347,347,TITLE:  Project Director (Visitarm Project)
348,348,TITLE:  South Tower
349,349,TITLE:  Executive Secretary
350,350,TITLE:  Business Trainers
351,351,"TITLE:  Poverty, Transition and Democracy in Armenia"
352,352,TITLE:  Accountant
353,353,TITLE:  Finance Officer/Accountant
354,354,TITLE:  Manager
355,355,TITLE:  Architect-Designer
356,356,TITLE:  Engineer
357,357,TITLE:  Accountant
358,358,TITLE:  Program Coordinator
359,359,"TITLE:  Project Manager, Sustainable Livelihoods Program"
360,360,TITLE:  Web Designer
361,361,TITLE:  Java/C++ Programmer
362,362,TITLE:  Family Physician/General Practitioner in the 5-year Mobile
